Original ID,Page,Expression,Reading,Honorific Version,Honorific Reading,English,Type,Type 2
161,325,夫,夫[おっと],御主人,御[ご] 主人[しゅじん],Husband,Noun,
162,325,主人,主人[しゅじん],御主人,御[ご] 主人[しゅじん],Husband,Noun,
163,325,妻,妻[つま],奥さん,奥[おく]さん,Wife,Noun,
164,325,家内,家内[かない],奥さん,奥[おく]さん,Wife,Noun,
165,325,おじ,おじ,おじさん,おじさん,Uncle,Noun,
166,325,おば,おば,おばさん,おばさん,Aunt,Noun,
167,325,親戚,親戚[しんせき],御親戚,御[ご] 親戚[しんせき],Relative,Noun,
168,325,集める,集[あつ]める,,,To collect,Verb,ru
169,325,生花,生花[せいか],,,Flower arranging,Noun,
170,325,絵,絵[え],,,Picture,Noun,
171,325,演奏,演奏[えんそう],,,To play (a musical instrument),Verb,suru
172,325,かく,かく,,,Drawing,Verb,u
173,325,切手,切手[きって],,,Stamp,Noun,
174,325,取る,取[と]る,,,To take (a class),Verb,u
175,325,撮る,撮[と]る,,,To take (a photo),Verb,u
176,325,料理,料理[りょうり],,,Cooking,Verb,suru
177,359,男,男[おとこ],,,Male,Noun,
178,359,男の子,男の子[おとこのこ],,,Boy,Noun,
179,359,男の人,男[おとこ]の 人[ひと],,,Man,Noun,
180,359,女,女[おんな],,,Female,Noun,
181,359,女の子,女の子[おんなのこ],,,Girl,Noun,
182,359,女の人,女[おんな]の 人[ひと],,,Woman,Noun,
183,359,方,方[かた],,,Person (polite),Noun,
184,359,子,子[こ],,,Child,Noun,
185,359,人,人[ひと],,,Person,Noun,
186,359,みな,みな,,,"All, everyone",Noun,
187,359,みんな,みんな,,,"All, everyone",Noun,
188,359,問題,問題[もんだい],,,"Problem, question",Noun,
189,359,一緒に,一緒[いっしょ]に,,,Together,Adverb,
190,359,特に,特[とく]に,,,Especially,Adverb,
191,359,全く,全[まった]く,,,Totally,Adverb,
192,359,なる,なる,,,"To become, turn into",Verb,u
193,359,わかる,わかる,,,To understand,Verb,u
194,359,いつか,いつか,,,Sometime,Grammar,
195,359,いくつか,いくつか,,,"Some, several",Grammar,
196,359,いつでも,いつでも,,,Anytime,Grammar,
197,359,いつも,いつも,,,Always,Grammar,
198,359,全て,全[すべ]て,,,All,Noun,
199,359,全部,全部[ぜんぶ],,,All,Noun,
200,359,だれか,だれか,,,Someone,Grammar,
201,359,だれでも,だれでも,,,Anyone,Grammar,
202,359,だれも,だれも,,,Everyone,Grammar,
203,359,どうか,どうか,,,Somehow,Grammar,
204,359,どこか,どこか,,,Somewhere,Grammar,
205,359,どこでも,どこでも,,,Anywhere,Grammar,
206,359,どこも,どこも,,,Everywhere,Grammar,
207,359,どちらか,どちらか,,,Either,Grammar,
208,359,どちらでも,どちらでも,,,Whichever,Grammar,
209,359,どちらも,どちらも,,,Both/neither,Grammar,
210,359,どなたか,どなたか,,,Someone (polite),Grammar,
211,359,どなたでも,どなたでも,,,Anyone (polite),Grammar,
212,359,どなたも,どなたも,,,Everyone (polite),Grammar,
213,359,どれか,どれか,,,One of them,Grammar,
214,359,どれでも,どれでも,,,Any of them,Grammar,
215,359,どれも,どれも,,,All of them/none of them,Grammar,
216,359,なぜか,なぜか,,,"Somehow, for some reason",Grammar,
217,359,何か,何[なに]か,,,Something,Grammar,
218,359,何も,何[なに]も,,,Everything,Grammar,
219,359,何でも,何[なに]でも,,,Anything,Grammar,
